"id","badestellen_id","date","sicht","eco","ente","temp","algen","cb","sicht_txt","eco_txt","ente_txt","temp_txt","algen_txt","cb_txt","bsl","state","wasserqualitaet","wasserqualitaet_txt"
173,344337,"2018-06-29",75,46,46,23.4,0,300,">75","46","46","23,4","","<300","B304","gruen",1,1
174,344345,"2018-06-29",180,15,15,21.4,0,300,"180","<15","<15","21,4","","<300","B312","gruen",1,1
175,344349,"2018-06-29",180,30,15,23.9,0,300,"180","30","<15","23,9","","<300","B313","gruen",1,1
176,344344,"2018-06-21",150,872,61,24.8,0,910,">150","872","61","24,8","","910","B314","gruen",1,1
177,344334,"2018-07-03",300,15,15,21.9,0,300,"300","15","<15","21,9","","<300","B920","gruen",1,1
178,344360,"2018-07-04",120,15,15,23.2,0,300,"120","<15","<15","23,2","","<300","B334","gruen",1,1
179,344350,"2018-07-04",110,15,15,22.5,0,300,"110","<15","<15","22,5","","<300","B332","gruen",1,1
180,344362,"2018-07-04",130,15,15,22.4,0,300,"130","<15","<15","22,4","","<300","B333","gruen",1,1
181,344359,"2018-07-04",130,15,15,21.8,0,300,"130","<15","<15","21,8","","<300","B330","gruen",1,1
182,344335,"2018-07-05",220,46,15,24,0,300,"220","46","<15","24","","<300","B925","gruen",1,1
183,344351,"2018-07-04",140,15,15,22.2,0,300,"140","<15","<15","22,2","","<300","B329","gruen",1,1
184,344358,"2018-07-04",130,15,15,22.1,0,300,"130","<15","15","22,1","","<300","B331","gruen",1,1
185,347246,"2018-07-06",130,177,15,21.8,0,300,"130","177","<15","21,8","","<300","B911","gruen",1,1
186,344357,"2018-07-04",120,15,15,21.8,0,360,"120","<15","<15","21,8","","360","B336","gruen",1,1
187,344343,"2018-07-05",180,15,15,23,0,300,"180","15","<15","23","","<300","B309","gruen",1,1
188,344344,"2018-07-05",180,77,30,23.1,0,300,"180","77","30","23,1","","<300","B314","gruen",1,1
189,344361,"2018-07-04",140,15,15,22.8,0,300,"140","<15","15","22,8","","<300","B350","gruen",1,1
190,344318,"2018-07-06",90,30,46,22.1,0,360,"90","30","46","22,1","","360","B910","gruen",1,1
191,344320,"2018-07-09",90,15,15,22.7,0,300,"90","<15","<15","22,7","","<300","B225","gruen",1,1
192,344321,"2018-07-09",140,15,15,22.5,0,300,"140","<15","15","22,5","","<300","B105","gruen",1,1
193,344322,"2018-07-09",220,15,15,21.6,0,300,"220","<15","<15","21,6","","<300","B118","gruen",1,1
194,344323,"2018-07-09",120,15,15,22.5,0,300,"120","15","15","22,5","","<300","B230","gruen",1,1
195,344326,"2018-07-09",80,15,15,23.2,0,300,"80","15","<15","23,2","","<300","B224","gruen",1,1
196,344325,"2018-07-09",80,15,15,22.4,0,300,"80","<15","<15","22,4","","<300","B226","gruen",1,1
197,344328,"2018-07-09",180,15,15,22.5,0,300,"180","15","<15","22,5","","<300","B112","gruen",1,1
198,344329,"2018-07-09",270,15,15,22.1,0,300,"270","<15","<15","22,1","","<300","B116","gruen",1,1
199,344331,"2018-07-09",50,15,15,22.7,0,300,"50","<15","<15","22,7","","<300","B215","gruen",1,1
